[2019-03-27 20:58:29] main.ERROR: Error: Application is not installed yet.  [] []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["VERTEX"],"mode":"matchingTag"}} []
[2019-03-27 21:06:47] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/progress","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-03-27 21:07:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_1"}} []
[2019-03-27 21:07:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_2"}} []
[2019-03-27 21:07:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_3"}} []
[2019-03-27 21:07:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_4"}} []
[2019-03-27 21:07:51] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2019-03-27 21:07:51] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_1","FPC"],"mode":"matchingTag"}} []
[2019-03-27 21:07:51] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_1","FPC"],"mode":"matchingTag"}} []
